제목,제한 연령,평점,예매율,장르
1917,15세 관람가,8.90점,16.67%,"드라마, 전쟁"
서치 아웃,15세 관람가,5.00점,10.52%,스릴러
라라랜드,12세 관람가,8.60점,10.44%,"드라마, 뮤지컬, 멜로/로맨스"
유령선,12세 관람가,6.23점,9.03%,다큐멘터리
비밀정보원: 인 더 프리즌,청소년 관람불가,7.14점,7.26%,"범죄, 스릴러, 액션"
건즈 아킴보,청소년 관람불가,6.53점,6.24%,액션
오픈 더 도어,15세 관람가,5.57점,5.12%,"공포, 스릴러"
엽문4: 더 파이널,12세 관람가,7.74점,5.03%,"액션, 드라마"
날씨의 아이,15세 관람가,7.91점,3.79%,애니메이션
주디,12세 관람가,8.24점,2.97%,"드라마, 뮤지컬"
라라걸,전체 관람가,9.23점,2.93%,드라마
인비저블맨,15세 관람가,7.64점,2.34%,"공포, 스릴러"
n번째 이별중,12세 관람가,6.51점,1.98%,"코미디, 멜로/로맨스"
너의 이름은.,12세 관람가,8.77점,1.61%,"애니메이션, 드라마, 멜로/로맨스"
사랑이 뭘까,15세 관람가,7.91점,1.06%,"드라마, 멜로/로맨스"
로건,청소년 관람불가,9.07점,1.06%,"액션, SF"
더 터닝,15세 관람가,4.57점,0.85%,"공포, 미스터리"
데드풀,청소년 관람불가,8.20점,0.8%,액션
작은 아씨들,전체 관람가,8.81점,0.79%,"드라마, 멜로/로맨스"
스케어리 스토리: 어둠의 속삭임,15세 관람가,5.48점,0.76%,"판타지, 공포"
원 데이,15세 관람가,8.23점,0.64%,"드라마, 멜로/로맨스"
바이올렛 에버가든 - 영원과 자동 수기 인형 -,전체 관람가,9.17점,0.51%,애니메이션
정직한 후보,12세 관람가,7.59점,0.5%,코미디
인셉션,12세 관람가,9.23점,0.49%,"액션, 모험, SF, 스릴러"
찬실이는 복도 많지,전체 관람가,8.74점,0.48%,"드라마, 멜로/로맨스, 판타지"
너의 새는 노래할 수 있어,15세 관람가,8.79점,0.35%,"멜로/로맨스, 판타지"
신과 나: 100일간의 거래,15세 관람가,6.37점,0.35%,"판타지, 스릴러, 미스터리"
스타 이즈 본,15세 관람가,9.17점,0.34%,"드라마, 멜로/로맨스"
기도의 힘,12세 관람가,9.35점,0.31%,드라마
지푸라기라도 잡고 싶은 짐승들,청소년 관람불가,6.44점,0.29%,"범죄, 스릴러"
다니엘 이즌 리얼,청소년 관람불가,8.00점,0.24%,스릴러
이장,12세 관람가,9.11점,0.24%,드라마
타오르는 여인의 초상,15세 관람가,9.04점,0.18%,드라마
극장판 미니특공대: 공룡왕 디노,전체 관람가,8.96점,0.16%,애니메이션
핀란드 메탈밴드,15세 관람가,8.92점,0.15%,코미디
조조 래빗,12세 관람가,9.17점,0.15%,"코미디, 드라마, 전쟁"
다크 워터스,12세 관람가,8.69점,0.14%,드라마
공수도,15세 관람가,8.78점,0.12%,"액션, 코미디"
그랜드 부다페스트 호텔,15세 관람가,8.39점,0.12%,"미스터리, 모험"
작가 미상,청소년 관람불가,9.15점,0.12%,"드라마, 스릴러"
모리의 정원,전체 관람가,6.90점,0.12%,드라마
젠틀맨,청소년 관람불가,8.24점,0.11%,"범죄, 액션"
시원찮은 그녀를 위한 육성방법 피날레,12세 관람가,7.45점,0.1%,"애니메이션, 드라마"
아비정전,15세 관람가,8.47점,0.09%,"드라마, 범죄, 멜로/로맨스"
펠리칸 베이커리,전체 관람가,8.62점,0.08%,다큐멘터리
윤희에게,12세 관람가,8.94점,0.08%,멜로/로맨스
시체들의 새벽,15세 관람가,8.50점,0.08%,"공포, 스릴러, SF"
행복의 단추를 채우는 완벽한 방법,12세 관람가,8.88점,0.08%,"드라마, 코미디"
선생님과 길고양이,전체 관람가,8.00점,0.08%,"드라마, 코미디"
페임,12세 관람가,7.03점,0.07%,"뮤지컬, 드라마"
더 울프 오브 월 스트리트,청소년 관람불가,8.07점,0.06%,"코미디, 범죄, 드라마"
하트,청소년 관람불가,7.35점,0.06%,"드라마, 멜로/로맨스"
사랑하고 있습니까,12세 관람가,4.90점,0.05%,멜로/로맨스
족구왕,15세 관람가,8.55점,0.05%,"드라마, 코미디, 멜로/로맨스"
온다,15세 관람가,7.39점,0.05%,공포
어바웃 타임,15세 관람가,9.17점,0%,"멜로/로맨스, 코미디"
기생충,15세 관람가,8.48점,0.05%,드라마
"그날, 바다",15세 관람가,8.97점,0.04%,다큐멘터리
브리짓 존스의 일기,청소년 관람불가,8.67점,0.04%,"드라마, 멜로/로맨스, 코미디"
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,12세 관람가,9.20점,0.04%,애니메이션
리암 갤러거,15세 관람가,8.91점,0.04%,다큐멘터리
수퍼 소닉,전체 관람가,8.26점,0.04%,"애니메이션, 액션, 모험, 코미디, 가족, 판타지, SF"
뱅드림! 필름 라이브,전체 관람가,7.99점,0.04%,애니메이션
숀더쉽 더 무비: 꼬마 외계인 룰라!,전체 관람가,9.27점,0.04%,"애니메이션, 모험, 코미디"
봄날은 간다,15세 관람가,9.10점,0%,"드라마, 멜로/로맨스"
좀비파이터,15세 관람가,8.00점,0.04%,"드라마, 액션, 공포, 가족"
러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,전체 관람가,8.34점,0.03%,애니메이션
산티아고의 흰 지팡이,전체 관람가,9.43점,0.03%,다큐멘터리
낮손님,청소년 관람불가,8.07점,0.02%,"미스터리, 코미디, 멜로/로맨스"
스코어: 영화음악의 모든 것,전체 관람가,8.87점,0.02%,다큐멘터리
빈폴,15세 관람가,7.77점,0.02%,드라마
신문기자,12세 관람가,8.05점,0.02%,"드라마, 서스펜스"
"힘내세요, 병헌씨",15세 관람가,8.56점,0.02%,"코미디, 드라마"
페인티드 버드,청소년 관람불가,8.75점,0.02%,"드라마, 전쟁"
내부자들,청소년 관람불가,8.99점,0.02%,"범죄, 드라마"
월드워Z,15세 관람가,8.22점,0.02%,"드라마, 스릴러, SF, 액션, 모험"
그 누구도 아닌,15세 관람가,5.88점,0.02%,드라마
기억의 전쟁,12세 관람가,7.55점,0.02%,다큐멘터리
델마와 루이스,청소년 관람불가,8.98점,0%,드라마
피아니스트 세이모어의 뉴욕 소네트,전체 관람가,9.12점,0.01%,다큐멘터리
리틀 포레스트2: 겨울과 봄,12세 관람가,8.47점,0.01%,드라마
끝까지 간다,15세 관람가,9.02점,0.01%,"범죄, 액션"
본 투 비 블루,청소년 관람불가,8.74점,0.01%,드라마
러브 라이브! 더 스쿨 아이돌 무비,전체 관람가,8.51점,0.01%,애니메이션
아웃사이더,청소년 관람불가,6.57점,0.01%,
동급생,15세 관람가,9.21점,0.01%,애니메이션
프리저베이션 홀 재즈밴드,전체 관람가,6.00점,0.01%,다큐멘터리
극장판 쿠로코의 농구 라스트 게임,12세 관람가,9.09점,0.01%,애니메이션
클로젯,15세 관람가,6.50점,0.01%,"미스터리, 드라마"
이별의 아침에 약속의 꽃을 장식하자,12세 관람가,8.70점,0.01%,"애니메이션, 드라마"
어벤져스,12세 관람가,8.80점,0.01%,"액션, SF, 모험"
어벤져스: 에이지 오브 울트론,12세 관람가,8.31점,0.01%,"액션, 모험, 판타지, SF"
어벤져스: 엔드게임,12세 관람가,9.38점,0.01%,"액션, SF"
어벤져스: 인피니티 워,12세 관람가,8.96점,0.01%,"액션, 모험, 판타지, SF"
미드나잇 선,12세 관람가,8.80점,0.01%,멜로/로맨스
레터스 투 줄리엣,12세 관람가,8.64점,0.01%,"멜로/로맨스, 코미디"
생일,전체 관람가,7.22점,0.01%,드라마
비행,15세 관람가,7.63점,0.01%,"드라마, 범죄"
벌새,15세 관람가,8.77점,0.01%,드라마
거인,12세 관람가,8.86점,0.01%,드라마
맨체스터 바이 더 씨,15세 관람가,8.71점,0.01%,드라마
비긴 어게인,15세 관람가,9.03점,0.01%,"드라마, 멜로/로맨스, 코미디"
샤인,15세 관람가,9.08점,0.01%,"드라마, 멜로/로맨스"
시체들의 새벽: 컨테이젼,청소년 관람불가,3.60점,0.01%,공포
진짜로 일어날지도 몰라 기적,전체 관람가,8.70점,0.01%,드라마
천로역정: 천국을 찾아서,전체 관람가,8.78점,0.01%,"애니메이션, 모험"
토니 에드만,청소년 관람불가,8.08점,0.01%,드라마
너의 췌장을 먹고 싶어,12세 관람가,8.07점,0.01%,드라마
너의 췌장을 먹고 싶어,12세 관람가,8.27점,0.01%,"애니메이션, 드라마"
데드폴,청소년 관람불가,6.51점,0.01%,"범죄, 드라마, 스릴러, 액션"
메기,15세 관람가,8.25점,0.01%,"드라마, 미스터리, 코미디"
미니언즈,전체 관람가,7.94점,0.01%,"애니메이션, 코미디, 가족"
바르다가 사랑한 얼굴들,전체 관람가,8.87점,0.01%,다큐멘터리
바울,15세 관람가,9.16점,0.01%,드라마
밤은 짧아 걸어 아가씨야,12세 관람가,7.53점,0.01%,"애니메이션, 멜로/로맨스, 코미디, 판타지"
범죄와의 전쟁 : 나쁜놈들 전성시대,청소년 관람불가,8.62점,0.01%,"범죄, 드라마"
부당거래,청소년 관람불가,8.69점,0.01%,"범죄, 드라마"
"부르고뉴, 와인에서 찾은 인생",15세 관람가,8.69점,0.01%,드라마
불한당: 나쁜 놈들의 세상,청소년 관람불가,6.33점,0.01%,"범죄, 액션, 드라마"
비밀은 없다,청소년 관람불가,6.66점,0.01%,스릴러
설화,15세 관람가,8.50점,0.01%,스릴러
싱 스트리트,15세 관람가,9.03점,0.01%,"드라마, 멜로/로맨스"
아가씨,청소년 관람불가,7.12점,0.01%,"스릴러, 드라마"
아녜스가 말하는 바르다,12세 관람가,8.84점,0.01%,다큐멘터리
아메리칸 셰프,15세 관람가,8.76점,0.01%,코미디
아사코,12세 관람가,7.41점,0.01%,드라마
아수라,청소년 관람불가,6.81점,0.01%,"범죄, 액션"
어메이징 그레이스,전체 관람가,8.78점,0.01%,다큐멘터리
엘리제궁의 요리사,12세 관람가,7.83점,0.01%,코미디
예수는 역사다,전체 관람가,7.75점,0.01%,드라마
울프 콜,15세 관람가,8.52점,0.01%,"액션, 스릴러"
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,15세 관람가,7.08점,0.01%,"애니메이션, 액션, 드라마"
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,15세 관람가,7.99점,0.01%,"애니메이션, 액션, 판타지"
한강에게,12세 관람가,7.75점,0.01%,"드라마, 멜로/로맨스"
미스 사이공: 25주년 특별 공연,15세 관람가,9.18점,0%,공연실황
